State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID,Service Area Sq Miles,Service Area Pop,Primary UZA UACE Code,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service,State Admin Funds Expended
,207,0T24,Spokane Tribe of Indians,Transit,TME,The Moccasin Express,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,6195 Ford Wellpinit Rd,,100,Wellpinit,WA,99040.0,9707.0,10,https://www.spokanetribe.com/resources/dnr/transit-services/,6937.0,Q4XPD6M7TNE7,,,53.0,Washington Non-UZA,"Spokane Reservation and Off-Reservation Trust Land, WA",1895776.0,0.0,0.0,11.0,,11,,,Tier II,,,
,223,0T28,Jamestown S'Klallam Tribe,,JST,,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,1033 Old Blyn Hwy,,,Sequim,WA,98382.0,7670.0,10,https://www.clallamtransit.com/route50,6986.0,MLVMMNN8LJS7,,,53.0,Washington Non-UZA,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",1895776.0,0.0,0.0,,,0,,,Tier II,,,
,231,0T33,Confederated Tribes of Warm Springs,,CTWS,,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,1233 Veterans St,,C,Warm Springs,OR,97761.0,,10,https://warmsprings-nsn.gov/,6978.0,HLTFBD3FTDG8,,,41.0,Oregon Non-UZA,"Warm Springs Reservation and Off-Reservation Trust Land, OR",1553447.0,0.0,0.0,,,0,,,Tier II,,,
,239,0T34,Ketchikan Indian Community,Social Services/Transit,,,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,2960 Tongass Ave,,,Ketchikan,AK,99901.0,5742.0,10,www.kictribe.org,7287.0,NLA4XF2E97L3,,,2.0,Alaska Non-UZA,"Ketchikan ANVSA, AK",359299.0,0.0,0.0,4.0,,4,,,Tier II,,,
,271,0T41,Nome Eskimo Community,,NEC,,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,200 W 5Th Ave,,1090,Nome,AK,99762.0,,10,www.necalaska.org,6985.0,TN9RANKKJGR4,,,2.0,Alaska Non-UZA,"Nome ANVSA, AK",359299.0,0.0,0.0,,,0,,,Tier II,,,
,279,0T40,Hydaburg Cooperative Association,Transportation,,HCA transit,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,1 Water St,,349,Hydaburg,AK,99922.0,,10,www.hcatribe.org/transportation,7246.0,GDM2XDL25K58,,,2.0,Alaska Non-UZA,"Hydaburg ANVSA, AK",359299.0,0.0,0.0,2.0,,2,,,Tier II,,,
0R03,280,0R03-052,Central Washington Airporter,,CWA,Gold Line,Rural Reporter,Rural,Private-For-Profit Corporation,0R03,Washington State Department of Transportation,Intercity Bus,2023-12-31,2024-04-30,1416 Whitehorn St,,,Ferndale,WA,98248.0,8923.0,10,http://www.gold-line.us,1724.0,URXJX7P89MH7,,,,,,,,,,,0,,,Tier II,,,
0R03,282,0R03-010,Garfield County Transportation Program,,GCTA,Garfield County Transportation Authority,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,789 Main St,,23,Pomeroy,WA,99347.0,9718.0,10,https://garfieldcta.com/,1724.0,EJJFTHEDDFN9,248.0,409271.0,,,,,,,4.0,,4,0.0,0.0,Tier II,,,
0R03,285,0R03-039,Thurston Regional Planning Council,ruralTRANSIT,TRPC,ruralTRANSIT,Rural Reporter,Rural,"MPO, COG or Other Planning Agency",0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,2411 Chandler Ct Sw,,,Olympia,WA,98502.0,6038.0,10,https://www.trpc.org/325/Rural-Transit,1724.0,RA1YHYY4J4N8,,,,,,,,,,6.0,6,0.0,0.0,Tier II,,,
0R03,286,0R03-032,Rural Resources Community Action,,,,Rural Reporter,Rural,Private-Non-Profit Corporation,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,956 S Main St,Suite A,,Colville,WA,99114.0,2505.0,10,https://ruralresources.org/,1724.0,K7QZQFKWD987,,,,,,,,,8.0,,8,14.0,15.0,Tier II,,,
0R03,287,0R03-029,People for People Moses Lake,,PFP,,Rural Reporter,Rural,Private-Non-Profit Corporation,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,302 W Lincoln Ave,,,Yakima,WA,98902.0,2656.0,10,https://www.mypfp.org/services/transportation/,1724.0,NA1XSQSKCJJ5,,,,,,,,,25.0,,25,0.0,0.0,Tier II,,,
0R02,290,0R02-049,City of Cottage Grove,Planning Department,,"South Lane Wheels, Inc.",Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,1450 Birch Ave,,,Cottage Grove,OR,97424.0,1417.0,10,http://www.southlanetransit.com/,1723.0,HMLAQC7CC8J3,,,,,,,,,1.0,6.0,7,0.0,0.0,Tier II,,,
0R01,291,0R01-042,Northwestern Stagelines Inc,,,Apple Line,Rural Reporter,Rural,Private-For-Profit Corporation,0R01,Idaho Transportation Department,Intercity Bus,2023-06-30,2023-10-31,S 4711 Ben Franklin Ln ,,,Spokane,WA,99224.0,5179.0,10,http://www.appleline.us,1722.0,DYDJA9HKSNF5,,,,,,,,,,,0,,,Tier II,,,
0R03,291,0R01-042,Northwestern Stagelines Inc,,,Apple Line,Rural Reporter,Rural,Private-For-Profit Corporation,0R03,Washington State Department of Transportation,Intercity Bus,2023-12-31,2024-04-30,S 4711 Ben Franklin Ln ,,,Spokane,WA,99224.0,5179.0,10,http://www.appleline.us,1722.0,DYDJA9HKSNF5,,,,,,,,,,,0,,,Tier II,,,
0R03,294,0R03-020,City of Pullman,Transit,,Pullman Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,190 Se Crestview St,,,Pullman,WA,99163.0,2267.0,10,http://www.pullmantransit.com,1724.0,TCK8L733N3K3,,,,,,,,,18.0,,18,0.0,0.0,Tier II,,,
0R02,296,0R02-028,Tillamook County Transportation District,,TCTD,The Wave,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,3600 3Rd St Ste A,,,Tillamook,OR,97141.0,2730.0,10,https://nwconnector.org/agencies/tillamook-county-transportation-district/,5979.0,R2L7KBX6J286,,,,,,,,,20.0,,20,0.0,0.0,Tier II,,,
,297,0R03-008,People for People Yakima,,PFP,,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,2023-12-31,2024-04-30,302 W Lincoln Ave,,,Yakima,WA,98902.0,2656.0,10,https://www.mypfp.org/services/transportation/,1724.0,NA1XSQSKCJJ5,4295.0,256643.0,97507.0,"Yakima, WA",,133145.0,2387.35563019291,55.77,17.0,,17,,,Tier II,,,
0R03,298,0R03-013,Island Transit,,,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,19758 State Route 20,,,Coupeville,WA,98239.0,9656.0,10,https://www.islandtransit.org/,1724.0,P6LJYEN316D7,,,,,,,,,53.0,,53,0.0,0.0,Tier II,,,
0R03,299,0R03-015,Klickitat County Senior Services,,MATS,Mount Adams Transportation Service,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,115 W Court St Ms 205,,,Goldendale,WA,98620.0,8905.0,10,https://www.klickitatcounty.org/363/Mount-Adams-Transportation-Service-MATS,1724.0,LUMMDUGCZWE7,,,,,,,,,14.0,,14,2.0,2.0,Tier II,,,
0R02,300,0R02-027,City of Silverton,Public Works,,Silver Trolley,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,306 S Water St,,,Silverton,OR,97381.0,2135.0,10,https://silverton.or.us/community/page/silver-trolley,1723.0,PL9YE2DUS6S3,,,,,,,,,2.0,,2,0.0,0.0,Tier II,,,
0R02,301,0R02-008,South Clackamas Transportation District,,SCTD,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,807 E Main St,,517,Molalla,OR,97038.0,9164.0,10,http://www.sctd.org,1723.0,L6ZXQ1Y6G561,,,,,,,,,,4.0,4,0.0,0.0,Tier II,,,
0R03,303,0R03-009,Clallam Transit System,,CTS,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,830 W Lauridsen Blvd,,,Port Angeles,WA,98363.0,2300.0,10,http://www.clallamtransit.com,1724.0,MLEKAKNA8K75,,,,,,,,,53.0,,53,0.0,0.0,Tier II,,,
0R01,304,0R01-043,Salt Lake Express,Western Trails Charter & Tours LLC,SLE,,Rural Reporter,Rural,Private-For-Profit Corporation,0R01,Idaho Transportation Department,Intercity Bus,2023-06-30,2023-10-31,785 S Railroad Ave,,566,Rexburg,ID,83440.0,,10,http://www.SaltLakeExpress.com,1144.0,G2HEHQT34J44,,,,,,,,,,,0,,,Tier II,,,
8R02,304,0R01-043,Salt Lake Express,Western Trails Charter & Tours LLC,SLE,,Rural Reporter,Rural,Private-For-Profit Corporation,8R02,Montana Department of Transportation,Intercity Bus,2023-06-30,2023-10-31,785 S Railroad Ave,,566,Rexburg,ID,83440.0,,10,http://www.SaltLakeExpress.com,1144.0,G2HEHQT34J44,,,,,,,,,,,0,,,Tier II,,,
8R06,304,0R01-043,Salt Lake Express,Western Trails Charter & Tours LLC,SLE,,Rural Reporter,Rural,Private-For-Profit Corporation,8R06,Utah Department of Transportation,Intercity Bus,2023-06-30,2023-10-31,785 S Railroad Ave,,566,Rexburg,ID,83440.0,,10,http://www.SaltLakeExpress.com,1144.0,G2HEHQT34J44,,,,,,,,,,,0,,,Tier II,,,
8R05,304,0R01-043,Salt Lake Express,Western Trails Charter & Tours LLC,SLE,,Rural Reporter,Rural,Private-For-Profit Corporation,8R05,Wyoming Department of Transportation,Intercity Bus,2023-09-30,2024-01-31,785 S Railroad Ave,,566,Rexburg,ID,83440.0,,10,http://www.SaltLakeExpress.com,1144.0,G2HEHQT34J44,,,,,,,,,,,0,,,Tier II,,,
0R02,307,0R02-006,Coos County Area Transit,,CCAT,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,93781 Newport Ln,,1118,Coos Bay,OR,97420.0,4067.0,10,http://www.coostransit.org,1723.0,ER4RKB9W2A57,,,,,,,,,13.0,1.0,14,0.0,0.0,Tier II,,,
0R02,308,0R02-029,Curry County Public Transit Service District,,,Curry Public Transit Inc,Rural Reporter,Rural,Private Provider Reporting on Behalf of a Public Entity,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,412 Alder St,,1771,Brookings,OR,97415.0,9014.0,10,http://www.currypublictransit.org,1723.0,CZACBZCTNSV3,,,,,,,,,11.0,,11,0.0,0.0,Tier II,,,
0R03,309,0R03-011,Grant County Transportation Authority,,GTA,Grant Transit Authority,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,8392 Westover Blvd Ne,,,Moses Lake,WA,98837.0,3355.0,10,https://www.granttransit.com/,1724.0,NFL7DGLRMHD6,,,,,,,,,28.0,15.0,43,0.0,0.0,Tier II,,,
0R02,310,0R02-020,Lincoln County Transportation Service District,Transit Department,,Lincoln County Transit,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,410 Ne Harney St,,,Newport,OR,97365.0,2898.0,10,http://co.lincoln.or.us/transit,5910.0,FL87RHG8TSD6,,,,,,,,,13.0,,13,0.0,0.0,Tier II,,,
0R01,311,0R01-003,Mountain Rides Transportation Authority,,MRTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R01,Idaho Transportation Department,Rural General Public Transit,2023-06-30,2023-10-31,800 1St Ave N,,3091,Ketchum,ID,83340.0,,10,www.mountainrides.org,1722.0,MKSCKKYC7NE9,,,,,,,,,33.0,,33,0.0,0.0,Tier II,,,
0R03,312,0R03-046,Hopesource,,,,Rural Reporter,Rural,Private-Non-Profit Corporation,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,606 W 3Rd Ave,STE 501,,Ellensburg,WA,98926.0,3064.0,10,http://www.hopesource.us,1724.0,MJGHVZSUVGJ3,,,,,,,,,14.0,,14,0.0,0.0,Tier II,,,
0R02,313,0R02-023,Grant County Transportation District,Public Transportation,,The People Mover,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,,,126,John Day,OR,97845.0,,10,http://www.grantcountypeoplemover.com,1723.0,TXX9AMHYNWX4,,,,,,,,,6.0,,6,0.0,0.0,Tier II,,,
0R03,314,0R03-012,Grays Harbor Transit,,GHT,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,705 30Th St,,,Hoquiam,WA,98550.0,4237.0,10,https://www.ghtransit.com/,1724.0,N53ZTKNNCYQ5,,,,,,,,,44.0,,44,0.0,0.0,Tier II,,,
0R03,315,0R03-017,Mason County Transportation Authority,,MTA,Mason Transit Authority,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,790 E Johns Prairie Rd,,1880,Shelton,WA,98584.0,1265.0,10,https://www.masontransit.org/,1724.0,ZL58AVGU81E6,,,,,,,,,32.0,,32,0.0,0.0,Tier II,,,
0R03,316,0R03-035,Jefferson Transit,,JTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,63 Four Corners Rd,,,Port Townsend,WA,98368.0,9366.0,10,http://www.jeffersontransit.com,1724.0,CDKCRDC5A7J7,,,,,,,,,13.0,,13,0.0,0.0,Tier II,,,
0R03,317,0R03-006,Mt Si Senior Center,,SVT,Snoqualmie Valley Transportation,Rural Reporter,Rural,Private-Non-Profit Corporation,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,411 Main Ave S,,806,North Bend,WA,98045.0,8215.0,10,https://svtbus.org/,1724.0,GDG3YC95NHK6,,,,,,,,,9.0,,9,0.0,0.0,Tier II,,,
0R02,319,0R02-002,Hood River County Transportation District,,CAT,Columbia Area Transit,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,600 E Marina Dr,,1147,Hood River,OR,97031.0,2383.0,10,ridecatbus.org,1723.0,C1KLFMW183Q8,,,,,,,,,14.0,,14,0.0,0.0,Tier II,,,
0R04,320,0R04-014,Center for Community ,,CFC,,Rural Reporter,Rural,Private-Non-Profit Corporation,0R04,Alaska Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,700 Katlian St,STE B,,Sitka,AK,99835.0,7359.0,10,https://centerforcommunityak.com/,1725.0,YGCVC6EQHVH6,,,,,,,,,,,0,0.0,0.0,Tier II,,,
0R02,321,0R02-015,Yamhill County,Yamhill County Transit Area,YCT,Yamhill County Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,535 Ne 5Th St,,,Mcminnville,OR,97128.0,4504.0,10,http://www.ycbus.org,1723.0,HLQDJB59AHM3,,,,,,,,,,26.0,26,0.0,0.0,Tier II,,,
0R03,322,0R03-019,Pacific Transit,,,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,216 2Nd St,,,Raymond,WA,98577.0,2406.0,10,http://www.pacifictransit.org,1724.0,SRRXZP4MKF35,,,,,,,,,13.0,,13,0.0,0.0,Tier II,,,
0R02,323,0R02-046,Malheur Council on Aging and Community Services,Public Transportation,MCOA,,Rural Reporter,Rural,Private-Non-Profit Corporation,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,842 Se 1St Ave,,,Ontario,OR,97914.0,2904.0,10,www.mcoacs.org,1723.0,QNQEKQPXH2J1,,,,,,,,,11.0,,11,0.0,0.0,Tier II,,,
0R02,325,0R02-057,"MTR Western, LLC",,,NorthWest POINT,Rural Reporter,Rural,Private-For-Profit Corporation,0R02,Oregon Department of Transportation ,Intercity Bus,2023-06-30,2023-10-31,720 S Forest St,,,Seattle,WA,98134.0,2122.0,10,https://mtrwestern.com/,1723.0,L9M5ALLFK853,,,,,,,,,,,0,,,Tier II,,,
0R02,326,0R02-048,"C.A.C Transportation, Inc",,,Central Oregon Breeze,Rural Reporter,Rural,Private-For-Profit Corporation,0R02,Oregon Department of Transportation ,Intercity Bus,2023-06-30,2023-10-31,25890 Walker Rd.,,,Bend,OR,97701.0,,10,http://www.cobreeze.com,1723.0,U74YXQTDCB68,,,,,,,,,,,0,,,Tier II,,,
,327,0R04-002,Valley Transit,,,,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,2023-06-30,2023-10-31,225 W Riley Ave,,,Wasilla,AK,99654.0,8020.0,10,http://www.valleytransitak.org,1725.0,N1JPGHCWASX3,25.0,53444.0,92459.0,"Wasilla--Knik-Fairview--North Lakes, AK",,53444.0,927.353983785469,57.63,10.0,,10,,,Tier II,,,
,330,0R02-025,City of Canby,Canby Area Transit,CAT,,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,195 S Hazel Del Way Ste C,,930,Canby,OR,97013.0,7830.0,10,http://www.canbyoregon.gov/transportation/routes.htm,1723.0,URZLKHDR2PM3,23.0,37000.0,71317.0,"Portland, OR--WA",,2104238.0,4052.0671239424,519.3,,9.0,9,,,Tier II,,,
0R02,331,0R02-026,Sunset Empire Transportation District,,SETD,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,900 Marine Dr,,,Astoria,OR,97103.0,4218.0,10,http://www.ridethebus.org,1723.0,Z9KTKMW3YRE5,,,,,,,,,12.0,,12,0.0,0.0,Tier II,,,
0R03,332,0R03-045,Okanogan County Transportation & Nutrition,,OCTN,,Rural Reporter,Rural,Private-Non-Profit Corporation,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,431 W 5Th St,,711,Omak,WA,98841.0,9709.0,10,https://www.octn.org/what-we-do/transportation/,1724.0,CZNTR7EMJZU7,,,,,,,,,12.0,,12,0.0,0.0,Tier II,,,
0R03,333,0R01-020,Council on Aging & Human Services,,COAST,COAST Public Transportation,Rural Reporter,Rural,Private-Non-Profit Corporation,0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,210 S Main St,,107,Colfax,WA,99111.0,1820.0,10,https://www.coacolfax.org/transportation,1724.0,N5UNML5ZHJ64,14.0,42230.0,,,,,,,19.0,,19,24.0,24.0,Tier II,,,
0R03,336,0R03-023,Skamania County Senior Services,,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",0R03,Washington State Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,240 Nw Vancouver Ave,,369,Stevenson,WA,98648.0,6447.0,10,https://www.skamaniacounty.org/departments-offices/senior-services/services/public-transportation,1724.0,QGNENMA6UFU7,,,,,,,,,11.0,,11,4.0,4.0,Tier II,,,
0R02,339,0R02-001,Basin Transit Service,,BTS,Basin Transit Service Transportation District,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,1130 Adams St,,,Klamath Falls,OR,97601.0,3393.0,10,www.basintransit.com,1723.0,M7NGFAU6NFN7,,,,,,,,,10.0,,10,0.0,0.0,Tier II,,,
0R04,340,0R04-001,"Senior Citizens of Kodiak, Inc.",,KATS,Kodiak Area Transportation System,Rural Reporter,Rural,Private-Non-Profit Corporation,0R04,Alaska Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,302 Erskine Ave,,,Kodiak,AK,99615.0,6341.0,10,http://www.kodiakseniorcenter.org,1725.0,M2EARGAT9NJ3,,,,,,,,,2.0,,2,0.0,0.0,Tier II,,,
0R01,341,0R01-021,Selkirks-Pend Oreille Transit Authority,,SPOT,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R01,Idaho Transportation Department,Rural General Public Transit,2023-06-30,2023-10-31,699 Lakeshore Ave,,,Dover,ID,83825.0,6025.0,10,http://www.spotbus.org/,1722.0,Q5N9V94M2D99,,,,,,,,,9.0,,9,0.0,0.0,Tier II,,,
0R01,342,0R01-013,Valley Vista Care Corporation,,VVCC,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,0R01,Idaho Transportation Department,Asset Subrecipient,2023-06-30,2023-10-31,,,,,ID,,,10,http://www.valleyvista.org,1722.0,W9LRNWB3QEM5,,,,,,,,,,,0,,,Tier II,,,
0R02,343,0R02-012,Community Connection of Northeast Oregon,Public Transit,CCNO,NEOTransit,Rural Reporter,Rural,Private-Non-Profit Corporation,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,2802 Adams Ave,,,La Grande,OR,97850.0,5267.0,10,http://www.neotransit.org/,1723.0,QK7PFPHWHK32,,,,,,,,,20.0,,20,0.0,0.0,Tier II,,,
0R04,345,0R04-011,Glacier Valley Transit,,GVT,,Rural Reporter,Rural,Private-Non-Profit Corporation,0R04,Alaska Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,1000 Arlberg Rd,,249,Girdwood,AK,99587.0,,10,www.glaciervalleytransit.com,1725.0,J74WV5FLNCV8,,,,,,,,,,2.0,2,0.0,0.0,Tier II,,,
0R01,347,0R01-007,"Regional Public Transportation, Inc.",,RPT,SMART Transit,Rural Reporter,Rural,Private-Non-Profit Corporation,0R01,Idaho Transportation Department,Rural General Public Transit,2023-06-30,2023-10-31,1006 Railroad St,,1102,Moscow,ID,83843.0,2311.0,10,http://www.smarttransit.org,1722.0,GZC9CXK5M4P3,,,,,,,,,5.0,,5,0.0,0.0,Tier II,,,
0R02,348,0R02-059,"Senior Citizens of Sweet Home, Inc.",,,,Rural Reporter,Rural,Private-Non-Profit Corporation,0R02,Oregon Department of Transportation ,Rural General Public Transit,2023-06-30,2023-10-31,,,803,,OR,,,10,http://www.linnshuttle.com,1723.0,RFL2Q6JSGRA4,,,,,,,,,11.0,,11,0.0,0.0,Tier II,,,
0R04,354,0R04-017,"Catholic Community Service, Sitka",,CCS-Sitka,Catholic Community Service,Rural Reporter,Rural,Private-Non-Profit Corporation,0R04,Alaska Department of Transportation,Rural General Public Transit,2023-06-30,2023-10-31,1803 Glacier Hwy,,,Juneau,AK,99801.0,7804.0,10,"www.ccsjuneau.org/8,southeastseniorservices",1725.0,ELG4AV8F9JD6,,,,,,,,,3.0,,3,0.0,0.0,Tier II,,,
0R01,357,0R01-001,TransIV Buses - College of Southern Idaho,,TRANS IV,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,0R01,Idaho Transportation Department,Rural General Public Transit,2023-06-30,2023-10-31,315 Falls Ave,,1238,Twin Falls,ID,83301.0,3389.0,10,http://www.csi.edu/support/transiv/tiv_body.html,1722.0,CJEELRDZ8PJ5,,,,,,,,,9.0,,9,0.0,0.0,Tier II,,,
